ProphixDate,Date,Location,NewSno,SnoDepth,SnoFall Tot,Max Temp,Min Temp,AvgWind,MaxGust,TotalWind
2025D237,2025-12-23,Summit,,,,27,25,25,69,604
2025D237,2025-12-23,RV_Bowl,5.0,66,146,32,28,,,
2025D237,2025-12-23,Raymer,6.0,65,141,31,28,9,27,227
2025D237,2025-12-23,MidMtn,1.0,38,99,36,32,,,
2025D237,2025-12-23,Buff,,,,,,8,30,188
2025D237,2025-12-23,Base,0.0,3,24,39,36,,,
2025D238,2025-12-24,Summit,,,,27,24,22,59,522
2025D238,2025-12-24,RV_Bowl,0.0,65,146,37,26,,,
2025D238,2025-12-24,Raymer,0.0,64,141,36,28,11,25,257
2025D238,2025-12-24,MidMtn,0.0,37,99,40,33,,,
2025D238,2025-12-24,Buff,,,,,,8,17,181
2025D238,2025-12-24,Base,0.0,3,24,46,30,,,
2025D239,2025-12-25,Summit,,,,30,25,26,52,614
2025D239,2025-12-25,RV_Bowl,7.0,68,153,32,25,,,
2025D239,2025-12-25,Raymer,6.0,68,147,32,28,13,42,308
2025D239,2025-12-25,MidMtn,2.0,38,101,38,33,,,
2025D239,2025-12-25,Buff,,,,,,9,30,217
2025D239,2025-12-25,Base,0.0,3,24,41,27,,,
